timestamp_seconds,process_name,process_type,cpu_percent,gpu_percent,process_used_memory_mb,system_total_memory_mb,system_free_memory_mb
1718549865,Code.exe,主进程,0.0,0,163.62890625,32620.05859375,18404.515625
1718549865,Code.exe,utility,0.0,0,92.30859375,32620.05859375,18404.515625
1718549865,Code.exe,GPU 进程,0.0,0.0,275.3828125,32620.05859375,18404.515625
1718549865,Code.exe,utility,0.0,0,692.0234375,32620.05859375,18404.515625
1718549865,Code.exe,渲染进程,4.7,0,643.62890625,32620.05859375,18404.515625
1718549865,Code.exe,主进程,0.0,0,240.89453125,32620.05859375,18404.515625
1718549865,Code.exe,utility,0.0,0,142.98046875,32620.05859375,18404.515625
1718549865,Code.exe,crashpad-handler,0.0,0,90.88671875,32620.05859375,18404.515625
1718549865,Code.exe,主进程,0.0,0,99.31640625,32620.05859375,18404.515625
1718549865,Code.exe,主进程,0.0,0,824.1875,32620.05859375,18404.515625
